SR. NO,headline,type,Post_url,post_day,post_date,activity_type,video_length(Mins),Feautured Himself Or Not,tags_used,post_comments,influencer_comments,hashtags_used,repost,likes,cl_post_time
1.0,7 Lessons for Possibility & Creative Majesty,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7193233118416257024-k9Mk?utm_source=share&utm_medium=member_desktop,Mon,2024-05-06,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,17.0,7.0,none,3.0,64.0,13:00:19
3.0,Launch Of Book THE WEALTH MONEY CANT BUY,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7192905622793666561-mxtA?utm_source=share&utm_medium=member_desktop,Tue,2024-04-30,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#robinsharma,26.0,5.0,none,1.0,179.0,13:00:13
4.0,Practices become practices by practicing them.,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_i-humbly-and-sincerely-thank-each-and-everyone-activity-7191058766123970562-9lUB?utm_source=share&utm_medium=member_desktop,Sun,2024-05-05,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,15.0,7.0,none,5.0,113.0,15:18:58
5.0,Fear is a giant liar. And doubt is a violent thief,PRE-ORDER BOOK  “The Wealth Money Can´t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7192508268521377793-0arT?utm_source=share&utm_medium=member_desktop,Sat,2024-05-04,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#thewealthmoneycantbuy,16.0,1.0,none,4.0,116.0,13:00:01
6.0,"As you visit your limits, your limits would expand",MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7192145891649048576-mQ3E?utm_source=share&utm_medium=member_desktop,Fri,2024-05-03,IMAGE POST,0.0,NO,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#robinsharma,23.0,1.0,none,7.0,131.0,13:00:04
7.0,Could you imagine just going dark for a year? Or maybe a month? Or maybe just for a week?,Motivation,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7191783239005491200-bNJt?utm_source=share&utm_medium=member_desktop,Thur,2024-05-02,VIDEO,57.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#thewealthmoneycantbuy,18.0,4.0,none,7.0,94.0,12:59:01
8.0,ABOUT FEAR,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7190696331546382336-2eC7?utm_source=share&utm_medium=member_desktop,Mon,2024-04-29,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,20.0,5.0,none,9.0,146.0,13:00:02
9.0,You’ll never rise any higher than your self-identity,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7190405368177459201-dBTa?utm_source=share&utm_medium=member_desktop,Sun,2024-04-28,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#thewealthmoneycantbuy,22.0,0.0,none,12.0,189.0,17:43:51
10.0,Send this to someone who needs to see this today ,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7193595475202125824--b1p?utm_source=share&utm_medium=member_desktop,Tue,2024-05-07,VIDEO,57.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#thewealthmoneycantbuy,7.0,4.0,none,4.0,45.0,13:00:11
11.0,Shaquille O'Neal is someone I really look up to as an athlete. Who do YOU look up to?,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_shaquille-oneal-is-someone-i-really-look-activity-7189971548382879744-eJvs?utm_source=share&utm_medium=member_desktop,Sat,2024-04-27,IMAGE POST,0.0,YES,,15.0,0.0,none,3.0,159.0,13:00:00
12.0,What hurts us can help us,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7189609211155156992-q10s?utm_source=share&utm_medium=member_desktop,Fri,2024-04-26,VIDEO,80.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#thewealthmoneycantbuy,18.0,4.0,none,5.0,113.0,13:00:12
13.0,Living the noble virtues,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7189246851445837824-dbiP?utm_source=share&utm_medium=member_desktop,Thu,2024-04-25,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#wmcb hashtag#thewealthmoneycantbuy,42.0,6.0,none,5.0,135.0,13:00:19
14.0,Be successful first as a human being,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7188703196360421376-qzbK?utm_source=share&utm_medium=member_desktop,Wed,2024-04-24,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#wmcb hashtag#thewealthmoneycantbuy,32.0,7.0,none,5.0,117.0,01:00:01
15.0,simple thoughts on what makes a TRULY successful life,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7188524268794654720-RP-b?utm_source=share&utm_medium=member_desktop,Tue,2024-04-23,IMAGE POST,0.0,NO,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma,56.0,1.0,none,9.0,319.0,13:09:02
16.0,There can be no success without failure,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_there-can-be-no-success-without-failure-activity-7188159678479052800-3i8L?utm_source=share&utm_medium=member_desktop,Mon,2024-04-22,VIDEO,79.0,YES,,47.0,7.0,none,13.0,280.0,13:00:16
17.0,Global book tour,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_special-announcement-for-all-my-uk-readers-activity-7187434837983604736-HgFV?utm_source=share&utm_medium=member_desktop,Sat,2024-04-20,IMAGE POST,0.0,YES,,15.0,0.0,none,0.0,93.0,13:00:01
18.0,“The Wealth Money Can’t Buy” debuted on The New York Times bestsellers list,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_im-coming-to-prague-on-april-18th-to-luxor-activity-7186610062281355264-Fyu2?utm_source=share&utm_medium=member_desktop,Fri,2024-04-19,IMAGE POST,0.0,NO,,41.0,6.0,none,4.0,369.0,13:00:13
19.0,Iterview with Ismael Cala,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_ismael-cala-just-did-a-wow-interview-in-the-activity-7186347169367367680-m53h?utm_source=share&utm_medium=member_desktop,Wed,2024-04-17,IMAGE POST,0.0,YES,,9.0,3.0,none,0.0,54.0,12:58:01
20.0,Book tour life “The Wealth Money Can’t Buy” ,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_book-tour-life-ill-slow-down-in-may-thank-activity-7185985033097158656-33Kg?utm_source=share&utm_medium=member_desktop,Tue,2024-04-16,VIDEO,32.0,YES,,16.0,5.0,none,1.0,115.0,12:59:01
21.0," Miami on April 15th to Books & Books, as part of my global book Tour",ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_i-am-coming-to-miami-on-april-15th-to-books-activity-7185622393602633728-rHif?utm_source=share&utm_medium=member_desktop,Mon,2024-04-15,IMAGE POST,0.0,YES,,13.0,4.0,none,0.0,59.0,12:58:01
22.0,Be the most generous person you know.,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7185260005825105920-kt5q?utm_source=share&utm_medium=member_desktop,Sun,2024-04-14,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,41.0,9.0,none,20.0,207.0,12:58:01
23.0,I finally received my own copy of the new book. It’s sort of heavy though.,Received First Copy Of  BOOK  “The Wealth Money Can’t Buy” ,https://www.linkedin.com/posts/robinsharmaofficial_i-finally-received-my-own-copy-of-the-new-activity-7184953671846141952-8KeT?utm_source=share&utm_medium=member_desktop, Sat,2024-04-13,IMAGE POST,0.0,YES,,73.0,11.0,none,10.0,912.0,16:40:45
24.0,No investment delivers a greater return than investing in yourself,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7184535481718611969-duiP?utm_source=share&utm_medium=member_desktop,Fri,2024-04-12,IMAGE POST,0.0,YES,,8.0,5.0,none,11.0,171.0,12:59:01
25.0,Nothing comes for free,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7184173093911699456-V1dc?utm_source=share&utm_medium=member_desktop,Thu,2024-04-11,VIDEO,35.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#wmcb hashtag#thewealthmoneycantbuy,14.0,7.0,none,13.0,156.0,12:59:01
26.0,Interview with Jay Shetty,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_thank-youjay-shettyfor-your-absolutely-activity-7183810450038378496-Xr0d?utm_source=share&utm_medium=member_desktop,Wed,2024-04-10,VIDEO,35.0,YES,NONE,18.0,9.0,none,13.0,216.0,12:58:00
27.0,Genuine wealth has much less to do with money and things,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7183448318071443456-IoPM?utm_source=share&utm_medium=member_desktop,Tue,2024-04-09,VIDEO,89.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#wmcb hashtag#thewealthmoneycantbuy,35.0,8.0,none,6.0,188.0,12:59:01
28.0,Declaration of release of book,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_im-beyond-excited-to-share-that-within-activity-7183085678535004160-r7is?utm_source=share&utm_medium=member_desktop,Mon,2024-04-08,IMAGE POST,0.0,YES,,26.0,5.0,none,0.0,125.0,12:58:01
29.0,Back on the road—after a week at the farmhouse refuelling,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_back-on-the-roadafter-a-week-at-the-farmhouse-activity-7182723542319271936-_Qk2?utm_source=share&utm_medium=member_desktop,Sun,2024-04-07,IMAGE POST,0.0,NO,,31.0,11.0,none,8.0,172.0,12:59:01
30.0,Copying what your competition is doing just leads to being second best.,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7182361154504011776-ElGO?utm_source=share&utm_medium=member_desktop,Sat,2024-04-06,IMAGE POST,0.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,23.0,8.0,none,4.0,176.0,12:59:01
31.0,"When you send your money out into the world, bless it",ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7181998766558715904-T11h?utm_source=share&utm_medium=member_desktop,Fri,2024-04-05,VIDEO,90.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,16.0,11.0,none,3.0,78.0,12:59:01
32.0,Please do remember that the events which hurt your heart can also serve to open your heart,PRE-ORDER BOOK  “The Wealth Money Can´t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7181636378818969600-GyIk?utm_source=share&utm_medium=member_desktop,Thu,2024-04-04,IMAGE POST,0.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,31.0,8.0,none,1.0,107.0,12:59:01
33.0,Suffering is nature’s way of making you special,PRE-ORDER BOOK  “The Wealth Money Can´t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7181273990923988992-Ngot?utm_source=share&utm_medium=member_desktop,Wed,2024-04-03,IMAGE POST,0.0,NO,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,16.0,5.0,none,8.0,82.0,12:59:01
34.0,ABOUT THE BOOK 'WEALTH MONEY CANT BUY',ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_special-announcement-for-all-my-uk-readers-activity-7187434837983604736-HgFV?utm_source=share&utm_medium=member_desktop,Sat,2024-04-20,IMAGE POST,0.0,YES,NONE,15.0,0.0,none,0.0,93.0,13:00:01
35.0,“The Wealth Money Can’t Buy” ON NW YORK TIMES BESTSELLERS LIST,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_just-heard-from-my-us-publisher-that-the-activity-7187072499342286849-Mjue?utm_source=share&utm_medium=member_desktop,Fri,2024-04-19,IMAGE POST,0.0,NO,NONE,40.0,0.0,none,0.0,372.0,13:00:13
36.0,COMING TO NEW YORK ON GLOBAL BOOK TOUR,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_i-am-coming-to-new-york-city-on-april-11th-activity-7180548963513585665-OuC6?utm_source=share&utm_medium=member_desktop,Mon,2024-04-01,VIDEO,37.0,YES,NONE,14.0,0.0,none,0.0,76.0,12:58:01
37.0,Gifts on Pre Order of book “The Wealth Money Can’t Buy”,PRE-ORDER BOOK  “The Wealth Money Can´t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7180186324002312193-pCvb?utm_source=share&utm_medium=member_desktop,Sun,2024-03-31,VIDEO,79.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,22.0,5.0,none,8.0,118.0,12:57:01
38.0,Losing yourself in the service of others is a beautiful formula for becoming happier as we navigate these uncertain times,PRE-ORDER BOOK  “The Wealth Money Can´t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7179477151023255552-478l?utm_source=share&utm_medium=member_desktop,Fri,2024-03-29,IMAGE POST,0.0,NO,NONE,36.0,3.0,none,7.0,135.0,13:59:01
39.0,Gifts on Pre Order of book “The Wealth Money Can’t Buy”,PRE-ORDER BOOK  “The Wealth Money Can´t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7179114763153485827-beMp?utm_source=share&utm_medium=member_desktop,Thu,2024-03-28,VIDEO,37.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,24.0,7.0,none,6.0,92.0,13:59:01
40.0,Gifts on Pre Order of book “The Wealth Money Can’t Buy”,PRE-ORDER BOOK  “The Wealth Money Can´t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7178389987401375744-cuGF?utm_source=share&utm_medium=member_desktop,Tue,2024-03-26,VIDEO,57.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,17.0,6.0,none,9.0,96.0,13:59:01
41.0,Gifts on Pre Order of book “The Wealth Money Can’t Buy”,PRE-ORDER BOOK  “The Wealth Money Can´t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7178027599623815170-8IP4?utm_source=share&utm_medium=member_desktop,Mon,2024-03-25,VIDEO,64.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,23.0,6.0,YES,3.0,93.0,13:59:01
42.0,A quick story on Robin Sharma wraps publishing of his book “The Wealth Money Can’t Buy”,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_a-quick-story-that-just-might-be-worth-reading-activity-7177665211754020864-Rvf-?utm_source=share&utm_medium=member_desktop, Sun,2024-03-24,IMAGE POST,0.0,YES,,9.0,0.0,NO,1.0,118.0,13:59:01
43.0,Gifts on Pre Order of book “The Wealth Money Can’t Buy”,PRE-ORDER BOOK  “The Wealth Money Can´t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7177276772973973505-RpPm?utm_source=share&utm_medium=member_desktop,Sat,2024-03-23,VIDEO,52.0,YES,hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,9.0,0.0,none,3.0,95.0,12:15:30
44.0,8 Rules for a super life,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_write-yes-if-you-find-these-valuable-have-activity-7176940436081520641-Zf1U?utm_source=share&utm_medium=member_desktop,Fri,2024-03-22,IMAGE POST,0.0,NO,NO,43.0,0.0,none,22.0,393.0,13:59:01
46.0," Gifts on Pre Order of book “The Wealth Money Can’t Buy” . You can win. You are special. And no matter what yesterday looked like, today can be so much better",ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7176215660195147778-DDkO?utm_source=share&utm_medium=member_desktop,Wed,2024-03-20,VIDEO,0.0,YES,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,8.0,2.0,YES,7.0,81.0,13:59:01
47.0,First Declaration of the book. deeply enthusiastic about the upcoming release of book “The Wealth Money Can’t Buy”,PRE-ORDER BOOK  “The Wealth Money Can´t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_im-deeply-enthusiastic-about-the-upcoming-activity-7175853272396632064-T5CG?utm_source=share&utm_medium=member_desktop,Wed,2024-03-20,IMAGE POST,0.0,NO,NONE,77.0,8.0,NO,28.0,902.0,13:59:01
48.0,The 10 Great Habbits For a Superb Life. Insights from 5AM Club,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_mastery-is-less-about-your-genetics-and-far-activity-7175490880273838080-PJPU?utm_source=share&utm_medium=member_desktop,Mon,2024-03-18,IMAGE POST,0.0,NO,NONE,68.0,6.0,NO,17.0,393.0,13:59:00
49.0,You were born with a gift' My new book “The Wealth Money Can’t Buy” will be available in 50+ countries on April 9,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7175128496686387200-d318?utm_source=share&utm_medium=member_desktop,Sun,2024-03-17,VIDEO,42.0,YES,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,13.0,0.0,YES,4.0,64.0,13:59:01
50.0,"When I think of leadership, Nelson Mandela tops my list",ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7174765857116450816-d5ws?utm_source=share&utm_medium=member_desktop,Sat,2024-03-16,VIDEO,59.0,YES,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,10.0,5.0,none,10.0,109.0,13:58:01
51.0,I believe we place too much weight on being liked by the cool crowd,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7174403716677038080-Gx0Y?utm_source=share&utm_medium=member_desktop,Fri,2024-03-15,IMAGE POST,0.0,NO,NONE,21.0,0.0,NO,13.0,279.0,13:59:00
52.0,Intense morning exercise at least five times a week will transform your life,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7173678945240866816-cRXE?utm_source=share&utm_medium=member_desktop,Wed,2024-03-13,IMAGE POST,0.0,NO,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,29.0,7.0,none,1.0,131.0,13:59:01
53.0,You were born with a gift. And science has confirmed it.,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7173329362195304448-jxib?utm_source=share&utm_medium=member_desktop,Tue,2024-03-12,VIDEO,81.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,22.0,5.0,YES,13.0,104.0,14:49:53
54.0,"The beautiful things about fear is when you run to it, it runs away",PRE-ORDER BOOK  “The Wealth Money Can´t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7172954169409028096-nRO8?utm_source=share&utm_medium=member_desktop,Mon,2024-03-11,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,21.0,6.0,none,6.0,266.0,13:59:01
55.0,"Please remember one of my top brain tattoos: “All change is hard at first, messy in the middle, and gorgeous at the end.” My new book “The Wealth Money Can’t Buy” will be available in 50+ countries on April 9",Motivation,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7172591529985826816-Yne7?utm_source=share&utm_medium=member_desktop,Sun,2024-03-10,VIDEO,69.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,24.0,5.0,none,7.0,171.0,13:58:01
56.0,Please do remember that the events which hurt your heart can also serve to open your heart. And experiences which caused you to suffer are the same ones that can scale your strength.,Motivation,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7171867005808005120-nXlX?utm_source=share&utm_medium=member_desktop,Fri,2024-03-08,IMAGE POST,0.0,NO,​​hashtag#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,15.0,6.0,none,3.0,133.0,13:59:01
57.0,Why become busy being busy when it’s an escape route from majestic productivity? My new book “The Wealth Money Can’t Buy” will be available in 50+ countries on April 9,ABOUT BOOK  “The Wealth Money Can’t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7171508921784872962-KP2f?utm_source=share&utm_medium=member_desktop,Thu,2024-03-07,VIDEO,59.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,14.0,6.0,none,6.0,111.0,14:16:07
58.0,“Lucky” is a myth. World-class performance is less about your genetics and more about your habits. If you could install ONE habit what would it be? My new book “The Wealth Money Can’t Buy” will be available in 50+ countries on April 9,PRE-ORDER BOOK  “The Wealth Money Can´t Buy”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7171142230169083904-vmuH?utm_source=share&utm_medium=member_desktop,Wed,2024-03-06,VIDEO,85.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,7.0,5.0,none,7.0,136.0,13:59:01
