SR. NO,headline,type,Post_url,post_day,post_date,activity_type,video_length(Mins),Feautured Himself Or Not,tags_used,post_comments,influencer_comments,hashtags_used,repost,likes,cl_post_time
159.0,"Success without honour is a trivial sport.I do believe that even if no one appreciates your vision, ambition, expertise, and kindness, the fact that you’re this kind of leader is good for your soul. What’s better than that?",GET FREE COPY OF BOOK  “The World Changer’s Manifesto”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7130916673678659584-fxjo?utm_source=share&utm_medium=member_desktop,Thu,2023-11-16,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,30.0,6.0,YES,11.0,193.0,01:57:01
160.0,"Life can change in a day. In a world of hype and noise and ego, today—let each of us remember what it means to be a real leader—and a true human being.",MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7130573162345283585-ld5H?utm_source=share&utm_medium=member_desktop,Wed,2023-11-15,VIDEO,6.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,38.0,7.0,YES,16.0,226.0,03:12:01
161.0,"To carry anger within you over what someone did to you is to degrade your creativity, productivity and serenity.Being mistreated is nothing more than a training camp to build your strength to forgive.And to forgive really is to be strong and powerful versus weak. And meek.So how can you let it go?You make the choice to move on with your life. You set the intention to be the bigger person and seek the growth in whatever happened, letting your pain purify you. And you work to develop the awareness that people do the best they can based on the level of wisdom and awareness they have at that time.",MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7130191394693918720-gZ_T?utm_source=share&utm_medium=member_desktop,Tue,2023-11-14,VIDEO,38.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,26.0,5.0,YES,21.0,188.0,01:55:01
162.0,"We all experience seasons in the wilderness where we feel alone, confused, and challenged.Yet, please remember that turbulence is necessary for transformation. And things must fall apart for things to be built up in a greater way.",GET FREE COPY OF BOOK  “The World Changer’s Manifesto”,https://www.linkedin.com/posts/robinsharmaofficial_robin-sharma-on-instagram-write-yes-if-activity-7129830810471284737-qrqx?utm_source=share&utm_medium=member_desktop,Mon,2023-11-13,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,23.0,6.0,YES,6.0,131.0,02:02:11
163.0,There's nothing more heartbreaking than getting to the end of your days and discovering you've betrayed yourself.So please remember - your daily behavior reflects your deepest beliefs. And your primary values drive your lifetime performance.,LIMITED MEMBERSHIP TO MASTERY,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7129467769481232384-WeR5?utm_source=share&utm_medium=member_desktop,"Sun, ",2023-11-12,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,25.0,5.0,YES,6.0,133.0,13:59:35
164.0,"I enthusiastically encourage you to start the journey—now—of a single habit that will set you up for becoming your most healthy, productive, and joyful year yet.",GET FREE COPY OF BOOK  “The World Changer’s Manifesto”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7129105348174430208-x6s7?utm_source=share&utm_medium=member_desktop,Sat,2023-11-11,VIDEO,59.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,7.0,5.0,YES,10.0,147.0,01:59:27
165.0,My point is a simple and quick one because I know you’re a busy person with giant dreams to do: invest less time on apps and more time on doing the precious activities necessary to make your life magic.,MOTIVATION,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7128741350648274944-9NwY?utm_source=share&utm_medium=member_desktop,Fri,2023-11-10,VIDEO,7.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,17.0,5.0,YES,10.0,114.0,13:53:03
166.0,"Nothing in your personal, physical, professional, and financial life will change until you start making your changes. ",GET FREE COPY OF BOOK  “The World Changer’s Manifesto”,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7128380193349525504-yw_P?utm_source=share&utm_medium=member_desktop,Thu,2023-11-09,IMAGE POST,0.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,44.0,6.0,YES,12.0,258.0,01:57:56
167.0,"Your best work is always done when you are alone. And without your phone. Getting up at dawn and spending an hour making yourself wiser, calmer, stronger, and deeper is one of the best habits a human being can install. ",READ THE 5AM CLUB ,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7128017566710587392-pqBX?utm_source=share&utm_medium=member_desktop,Wed,2023-11-08,VIDEO,37.0,YES,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,16.0,5.0,YES,6.0,152.0,01:57:00
168.0," if you commit to being a heavyweight in a culture gone ultra-light.Deep change is the perfect time to work on your heroism, fearlessness, and service to many",ALL BOOKS TO MASTERY,https://www.linkedin.com/posts/robinsharmaofficial_leadership-productivity-eliteperformance-activity-7127655183085428737-FP5t?utm_source=share&utm_medium=member_desktop,Tue,2023-11-07,VIDEO,7.0,NO,#leadership hashtag#productivity hashtag#eliteperformance hashtag#personalmastery hashtag#soulfulness hashtag#quote hashtag#quoteoftheday hashtag#business hashtag#entrepreneur hashtag#dailymasterypodcast hashtag#robinsharma hashtag#theeverydayheromanifesto,13.0,4.0,YES,0.0,55.0,01:57:01
